Species_Element_ID,New Code,Present,Scientific Name,Common Name,CC,CW,GRank,COSEWIC,NRANK,SARO,S_RANK,CZ,CZRESTR,ES,CK,LB,MD,EL,OX,HN,BR,NG,HM,7E4,Type,Flowering Season,NatStatus,Invasive,Family,Supplemental CC,Supplemental CW,CW Override,Reason for Override/Suppl. CW Rationalization,Tracked,CCVI,CCVI Confidence,Tallgrass
128010,ARALSPI,,Aralia spinosa,Hercules'-club,,0,G5,,NNA,,SE1,IR,,,,,,IR,,IR,,IH,,,FO,,I,Y,Araliaceae,0,0,,,N,,,
65000,BERBTHU,,Berberis thunbergii,Japanese Barberry,,3,GNR,,NNA,,SE5,IX,,IU,IX,IX,IX,IU,,IU,IX,IC,IX,IC,SH,Sum,I,Y,Berberidaceae,0,3,,,N,,,
65002,BERBVUL,,Berberis vulgaris,Common Barberry,,3,GNR,,NNA,,SE5,IX,,?,IX,IX,IX,IU,IX,IU,IX,IC,IX,IR,SH,Sum,I,Y,Berberidaceae,0,3,,,N,,,
45022,BETUPEN,,Betula pendula,Weeping Birch,,3,GNR,,NNA,,SE4,IR,,IR,IR,IX,IR,IR,IX,,IR,IU,IR,IR,TR,,I,Y,Betulaceae,0,3,override,Suppl. CW value matches more closely with values from US Wetland Plant List and Michigan Flora,N,,,
22110,BROMINE,,Bromus inermis,Smooth Brome,,5,G5,,NNA,,SE5,IC,,IC,IX,IX,IC,IC,IX,IC,IX,IC,IC,IC,GR,,I,Y,Poaceae,0,5,,,N,,,
20000,BUTOUMB,,Butomus umbellatus,Flowering-rush,,-5,G5,,NNA,,SE5,IU,,IC,IX,IR,IR,IX,,IR,IX,IU,IR,IU,FO,,I,Y,Butomaceae,0,-5,,,N,,,
63602,CABOCAR,,Cabomba caroliniana,Carolina Fanwort,,-5,G5,,NNA,,SE1,,,,,,,,,,,,,,FO,,I,Y,Cabombaceae,0,-5,,,N,,,
83038,CARAARB,,Caragana arborescens,Siberian Pea Shrub,,5,GNR,,NNA,,SE1,IR,,,,,,,,,,IR,IR,IR,SH,,I,Y,Fabaceae,0,5,,,N,,,
73092,CARDIMP,,Cardamine impatiens,Narrow-leaved Bittercress,,0,GNR,,NNA,,SE1,IR,,,,,,,,,,,IR,IR,FO,,I,Y,Brassicaceae,0,0,,,N,,,
23004,CAREACU,,Carex acutiformis,Lesser Pond Sedge,,-5,GNR,,NNA,,SE1,,,,,,,,,,,,,,SE,,I,Y,Cyperaceae,0,-5,,,N,,,
23146,CAREDIP,,Carex disticha,Two-ranked Sedge,,0,GNR,,NNA,,SE1,,,,,,,,,,,,,,SE,,I,Y,Cyperaceae,0,0,,,N,,,
23166,CAREFLA,,Carex flacca,Heath Sedge,,0,GNR,,NNA,,SE2,IR,,,,,IH,,,,IX,,IR,IR,SE,,I,Y,Cyperaceae,0,0,,,N,,,
100000,CELAORB,,Celastrus orbiculatus,Oriental Bittersweet,,5,GNR,,NNA,,SE2,IR,,IR,IR,IR,IR,,,IR,,IR,IR,IU,VW,,I,Y,Celastraceae,0,5,,,N,,,
168310,CENTSTM,,Centaurea stoebe ssp. micranthos,Spotted Knapweed,,5,G--TNR,,NNA,,SE5,IC,,IU,IX,IX,IX,IX,IX,IC,IX,IU,IX,IR,FO,Aut,I,Y,Asteraceae,0,5,,,N,,,
71002,CHELMAJ,,Chelidonium majus,Greater Celandine,,5,GNR,,NNA,,SE5,IU,,IR,IX,IX,IX,IR,IX,IU,IX,IC,IC,IU,FO,Sum,I,Y,Papaveraceae,0,5,,,N,,,
168332,CIRSARV,,Cirsium arvense,Canada Thistle,,3,G5,,NNA,,SE5,IC,,IC,IX,IX,IC,IC,IX,IC,IX,IC,IC,IC,FO,Sum,I,Y,Asteraceae,0,3,,,N,,,
32032,CONVMAJ,,Convallaria majalis,European Lily-of-the-valley,,5,G5,,NNA,,SE5,IX,,IR,IX,IX,IR,IR,IX,IR,IX,IU,IX,IC,FO,,I,Y,Liliaceae,0,5,,,N,,,
82106,CRATMON,,Crataegus monogyna,English Hawthorn,,3,G5,,NNA,,SE4,IU,,IR,IR,IX,IX,IX,IX,IC,IX,IC,IX,IC,SH,,I,Y,Rosaceae,0,3,,,N,,,
165002,DIPSFUL,,Dipsacus fullonum,Common Teasel,,3,GNR,,NNA,,SE5,IC,,IC,IX,IX,IC,IC,IX,IC,IX,IC,IX,IC,FO,Sum,I,Y,Dipsacaceae,0,3,,,N,,,
30000,EICHCRA,,Eichhornia crassipes,Common Water-hyacinth,,-5,G5,,NNA,,SE1,IR,,IR,,,IR,,,,,,,IR,FO,,I,Y,Pontederiaceae,0,-5,,,N,,,
120000,ELAEANG,,Elaeagnus angustifolia,Russian Olive,,3,GNR,,NNA,,SE3,IU,,IR,,IR,IR,IR,,,IX,IR,IX,IC,SH,,I,Y,Elaeagnaceae,0,3,,,N,,,
120004,ELAEUMB,,Elaeagnus umbellata,Autumn Olive,,3,GNR,,NNA,,SE3,IU,,IR,IX,IR,IR,IR,,IU,IX,IU,IX,IU,SH,,I,Y,Elaeagnaceae,0,3,,,N,,,
125026,EPILHIR,,Epilobium hirsutum,Hairy Willowherb,,-3,GNR,,NNA,,SE5,IU,,IC,IX,IX,IX,IX,IX,IU,IX,IC,IX,IC,FO,,I,Y,Onagraceae,0,-3,,,N,,,
125034,EPILPAR,,Epilobium parviflorum,Small-flowered Hairy Willowherb,,3,GNR,,NNA,,SE4,IU,,,,IX,IX,,IX,IU,IX,IU,IX,IR,FO,,I,Y,Onagraceae,0,3,,,N,,,
39040,EPIPHEL,,Epipactis helleborine,Broad-leaved Helleborine,,3,GNR,,NNA,,SE5,IC,,IR,IX,IX,IX,IU,IX,IC,IX,IC,IX,IC,FO,Sum,I,Y,Orchidaceae,0,3,,,N,,,
100004,EUONALA,,Euonymus alatus,Winged Euonymus,,5,GNR,,NNA,,SE2,IR,,IR,IR,IR,IR,,,IR,IX,IR,IR,IR,SH,,I,Y,Celastraceae,0,5,,,N,,,
1010110,EUPHVIR,,Euphorbia virgata,Leafy Spurge,,5,GNR,,NNA,,SE5?,IU,,IU,,IX,IX,IX,IX,IU,IX,IR,IX,IU,FO,,I,Y,Euphorbiaceae,0,5,,,N,,,
106008,FRANALN,,Frangula alnus,Glossy Buckthorn,,0,GNR,,NNA,,SE5,IU,,IR,,IX,IU,IR,IX,IU,IX,IC,IX,IR,SH,Spr,I,Y,Rhamnaceae,0,0,,,N,,,
161020,GALIMOL,,Galium mollugo,Smooth Bedstraw,,5,GNR,,NNA,,SE5,IU,,,IX,IX,IX,IX,IX,IU,IX,IC,IX,IU,FO,,I,Y,Rubiaceae,0,5,,,N,,,
161044,GALIVER,,Galium verum,Yellow Bedstraw,,5,GNR,,NNA,,SE4,IR,,IR,IX,IX,IX,IX,,IR,IX,IU,IX,IR,FO,Sum,I,Y,Rubiaceae,0,5,,,N,,,
82182,GEUMURB,,Geum urbanum,Wood Avens,,5,G5,,NNA,,SE3,IX,,,,,IR,IR,IX,IR,IX,IR,IX,IX,FO,Sum,I,Y,Rosaceae,0,5,,,N,,,
22350,GLYCMAI,,Glyceria maxima,Rough Mannagrass,,-5,GNR,,NNA,,SE4,IX,,,,,,,,,,,IU,IC,GR,,I,Y,Poaceae,0,-5,,,N,,,
32046,HEMEFUL,,Hemerocallis fulva,Orange Daylily,,5,GNA,,NNA,,SE5,IU,,IU,IX,IX,IX,IU,IX,IU,IX,IX,IX,IC,FO,,I,Y,Liliaceae,0,5,,,N,,,
32048,HEMELIL,,Hemerocallis lilioasphodelus,Yellow Daylily,,5,GNR,,NNA,,SE4,IR,,,,,IR,IR,,IR,,,IR,IR,FO,,I,Y,Liliaceae,0,5,,,N,,,
129050,HERAMAN,,Heracleum mantegazzianum,Giant Hogweed,,0,GNR,,NNA,,SE2,IR,,,,,,,,IR,,,IR,IU,FO,,I,Y,Apiaceae,0,0,,,N,,,
73190,HESPMAT,,Hesperis matronalis,Dame's Rocket,,3,G4G5,,NNA,,SE5,IC,,IU,IX,IX,IX,IC,IX,IC,IX,IX,IC,IC,FO,Sum,I,Y,Brassicaceae,0,3,,,N,,,
21004,HYDRMOR,,Hydrocharis morsus-ranae,European Frog-bit,,-5,GNR,,NNA,,SE5,IR,,IR,IR,,,,,IR,,,IR,IR,FO,Sum,I,Y,Hydrocharitaceae,0,-5,,,N,,,
78024,HYLOTEL,,Hylotelephium telephioides,Alleghany Stonecrop,,,G4,,NNA,,SE1,IR,,IR,,,,IR,,,,,,,FO,,I,Y,Crassulaceae,0,,,,N,,,
78026,HYLOTEE,,Hylotelephium telephium,Garden Stonecrop,,5,GNR,,NNA,,SE2,IR,,,IX,,,,IX,,IX,IR,IX,IR,FO,,I,Y,Crassulaceae,0,5,,,N,,,
111018,HYPEPER,,Hypericum perforatum,Common St. John's-wort,,5,GNR,,NNA,,SE5,IC,,IC,IX,IX,IC,IC,IX,IC,IX,IC,IC,IC,FO,,I,Y,Clusiaceae,0,5,,,N,,,Y
105002,IMPAGLA,,Impatiens glandulifera,Purple Jewelweed,,-3,GNR,,NNA,,SE4,IR,,IR,,,IR,IR,,IH,,IH,IX,IC,FO,Sum,I,Y,Balsaminaceae,0,-3,,,N,,,
36010,IRISPSE,,Iris pseudacorus,Yellow Iris,,-5,GNR,,NNA,,SE4,IU,,IU,IR,IR,IR,IR,,IU,IX,IU,IX,IU,FO,Sum,I,Y,Iridaceae,0,-5,,,N,,,
141022,LIGUVUL,,Ligustrum vulgare,European Privet,,3,GNR,,NNA,,SE5,IX,,IU,IX,IX,IX,IR,IX,IR,IX,IC,IX,IU,SH,,I,Y,Oleaceae,0,3,,,N,,,
162018,LONIJAP,,Lonicera japonica,Japanese Honeysuckle,,3,GNR,,NNA,,SE2,IR,,IU,IR,,IR,IR,,,,IR,,?,VW,,I,Y,Caprifoliaceae,0,3,,,N,,,
162020,LONIMAA,,Lonicera maackii,Maack's Honeysuckle,,5,GNR,,NNA,,SE2,IR,,IR,,,IR,IR,,,,IR,IC,IU,SH,,I,Y,Caprifoliaceae,0,5,,,N,,,
162022,LONIMOR,,Lonicera morrowii,Morrow's Honeysuckle,,3,GNR,,NNA,,SE3,IR,,IR,,IX,IR,,,IR,IX,IU,IX,IX,SH,,I,Y,Caprifoliaceae,0,3,,,N,,,
162030,LONITAT,,Lonicera tatarica,Tatarian Honeysuckle,,3,GNR,,NNA,,SE5,IC,,IU,IX,IX,IX,,IX,IC,IX,IC,IX,IC,SH,,I,Y,Caprifoliaceae,0,3,,,N,,,
162034,LONIX B,,Lonicera x bella,(Lonicera morrowii X Lonicera tatarica),,3,GNA,,NNA,,SNA,hyb,,hyb,hyb,hyb,,,,hyb,,hyb,hyb,hyb,SH,,I,Y,Caprifoliaceae,0,3,,,N,,,
162036,LONIXYL,,Lonicera xylosteum,Dwarf Honeysuckle,,5,GNR,,NNA,,SE2,IR,,,,,IR,?,,IR,,IR,IX,IR,SH,,I,Y,Caprifoliaceae,0,5,,,N,,,
83156,LOTUCOR,,Lotus corniculatus,Garden Bird's-foot Trefoil,,3,GNR,,NNA,,SE5,IC,,IC,IX,IX,IX,IX,IX,IC,IX,IC,IC,IC,FO,Sum,I,Y,Fabaceae,0,3,,,N,,,
151064,LYCOEUR,,Lycopus europaeus,European Water-horehound,,-5,GNR,,NNA,,SE5,IU,,IR,,IX,,,,IU,IX,IU,IX,IU,FO,,I,Y,Lamiaceae,0,-5,,,N,,,
135018,LYSINUM,,Lysimachia nummularia,Creeping Yellow Loosestrife,,-3,GNR,,NNA,,SE5,IC,,IC,IX,IX,IX,IX,IX,IU,IX,IC,IX,IC,FO,,I,Y,Primulaceae,0,-3,,,N,,,
135030,LYSIVUL,,Lysimachia vulgaris,Garden Yellow Loosestrife,,-3,GNR,,NNA,,SE3,IR,,,IR,,IR,IR,,IR,,,IX,IX,FO,,I,Y,Primulaceae,0,-3,,,N,,,
121010,LYTHSAL,,Lythrum salicaria,Purple Loosestrife,,-5,G5,,NNA,,SE5,IC,,IC,IX,IX,IC,IC,IX,IC,IX,IC,IC,IC,FO,Sum,I,Y,Lythraceae,0,-5,,,N,,,
65010,MAHOAQU,,Mahonia aquifolium,Holly-leaved Barberry,,3,G5,,N5,,SE2,IR,,IR,,IR,IR,,,,,IR,IR,IR,SH,,I,Y,Berberidaceae,0,3,,,N,,,
10000,MARSQUA,,Marsilea quadrifolia,European Water-clover,,-5,G5,,NNA,,SEH,IH,,,,,,,,IH,,,,,FE,,I,Y,Marsileaceae,0,-5,,,N,,,
83178,MELIALB,,Melilotus albus,White Sweet-clover,,3,G5,,NNA,,SE5,IC,,IC,IX,IX,IC,IC,IX,IC,IX,IC,IC,IC,FO,,I,Y,Fabaceae,0,3,,,N,,,
83182,MELIOFF,,Melilotus officinalis,Yellow Sweet-clover,,3,GNR,,NNA,,SE5,IC,,IC,IX,IX,IC,IC,IX,IU,IX,IC,IC,IU,FO,,I,Y,Fabaceae,0,3,,,N,,,
22410,MISCSAC,,Miscanthus sacchariflorus,Amur Silvergrass,,5,GNR,,NNA,,SE3,IX,,IR,IX,IR,IX,IR,IX,IU,IX,,IH,IU,GR,,I,Y,Poaceae,0,5,,,N,,,
22412,MISCSIN,,Miscanthus sinensis,Chinese Silvergrass,,5,GNR,,NNA,,SE1,IR,,,,,,IH,,,,IR,IR,IR,GR,,I,Y,Poaceae,0,5,,,N,,,
48002,MORUALB,,Morus alba,White Mulberry,,0,GNR,,NNA,,SE5,IC,,IC,IX,IX,IX,IU,IX,IU,IX,IC,IC,IC,TR,,I,Y,Moraceae,0,0,,,N,,,
61082,MYOSAQU,,Myosoton aquaticum,Giant-chickweed,,0,GNR,,NNA,,SE3,IR,,IR,IR,IX,IR,,,,,IR,,IX,FO,,I,Y,Caryophyllaceae,0,0,,,N,,,
17114,MYRIAQU,,Myriophyllum aquaticum,Brazilian Water-milfoil,,-5,GNR,,NNA,,SE1,,,,,,,,,,,,,,FO,,I,Y,Haloragaceae,0,-5,,,N,,,
126008,MYRISPI,,Myriophyllum spicatum,Eurasian Water-milfoil,,-5,GNR,,NNA,,SE5,IU,,IU,IX,IX,,,,IC,,IR,IX,IR,FO,,I,Y,Haloragaceae,0,-5,,,N,,,
73224,NASTOFF,,Nasturtium officinale,Watercress,,-5,GNR,,NNA,,SE,IX,,IR,IX,?,IX,IX,IX,,,,,?,FO,,I,Y,Brassicaceae,0,-5,,,N,,,
17409,NYMPPEL,,Nymphoides peltata,Yellow Floatingheart,,-5,G5,,NNA,,SE1,IR,,,,,,,,IR,,,IR,,FO,,I,Y,Menyanthaceae,0,-5,,,N,,,
129072,PASTSAT,,Pastinaca sativa,Wild Parsnip,,5,GNR,,NNA,,SE5,IU,,IU,IX,IX,IX,IX,,IU,IX,IU,IX,IC,FO,Spr,I,Y,Apiaceae,0,5,,,N,,,
22484,PHALARU,,Phalaris arundinacea,Reed Canarygrass,0,-3,G5,,N5,,S5,C,,C,X,X,X,C,X,C,C,C,C,C,GR,,N,Y,Poaceae,0,-3,,,N,,,
22492,PHRAAUS,,Phragmites australis,Common Reed,0,-3,G5,,N5,,S4?,,,,,,,,,,,,,,GR,Sum,N,Y,Poaceae,0,-3,,,N,,,
1004459,PHRAAUU,,Phragmites australis ssp. australis,European Reed,,-3,G5T5,,NNA,,SE5,IC,,IC,IC,IX,IC,IX,IC,IC,IC,IC,IC,IC,GR,Sum,I,Y,Poaceae,0,-3,,,N,,,
13026,PINUSYL,,Pinus sylvestris,Scots Pine,,3,GNR,,NNA,,SE5,IX,,IR,IX,IX,IR,IR,IX,IC,IX,IC,IX,IC,TR,,I,Y,Pinaceae,0,3,,,N,,,
17117,PISTSTR,,Pistia stratiotes,Water Lettuce,,-5,G5,,NNA,,SE1,IR,,IR,,,,,,,,IR,,,FO,,I,Y,Araceae,0,-5,,,N,,,
168644,PLUCODO,,Pluchea odorata,Shrubby Camphorweed,,-5,G5,,NNA,,SE1,IR,,IR,,,,,,,,,,,FO,,I,Y,Asteraceae,0,-5,,,N,,,
22794,POA_PRP,,Poa pratensis ssp. pratensis,Kentucky Bluegrass,,3,G5T5,,NNR,,SE5,IC,,C,IX,IX,IC,IC,IX,IC,IX,IC,IC,IC,GR,,I,Y,Poaceae,0,3,,,N,,,
41000,POPUALB,,Populus alba,White Poplar,,5,G5,,NNA,,SE5,IU,,IR,IX,IX,IX,IR,IX,IC,IX,IU,IX,IU,TR,,I,Y,Salicaceae,0,5,,,N,,,
16110,POTACRI,,Potamogeton crispus,Curly-leaved Pondweed,,-5,G5,,NNA,,SE5,IU,,IU,IX,IX,IX,IU,,IC,IX,IC,IX,IX,FO,,I,Y,Potamogetonaceae,0,-5,,,N,,,
22540,PUCCDIS,,Puccinellia distans,Spreading Alkaligrass,,-3,G5,,NNR,,SE5,IC,,IC,IX,IX,IC,IC,IX,IC,IX,IU,IX,IX,GR,,I,Y,Poaceae,0,-3,,,N,,,
1004405,PUERMOL,,Pueraria montana var. lobata,Kudzu,,5,GNRTNR,,NNA,,SE1,IR,,IR,,,,,,,,,,,VI,,I,Y,Fabaceae,0,5,,,N,,,
54034,REYNJAP,,Reynoutria japonica,Japanese Knotweed,,3,GNR,,NNA,,SE5,IX,,IR,IR,IX,IU,IU,IX,IU,IX,IU,IX,IC,FO,Sum,I,Y,Polygonaceae,0,3,,,N,,,
54068,REYNSAC,,Reynoutria sachalinensis,Giant Knotweed,,5,GNR,,NNA,,SE1,IR,,,,,,,,,,IR,,,FO,,I,Y,Polygonaceae,0,5,,,N,,,
1011110,REYNX B,,Reynoutria x bohemica,(Reynoutria japonica X R. sachalinensis),,3,GNA,,NNA,,SNA,hyb,,,,,,,,,,,,IR,FO,,I,Y,Polygonaceae,0,3,,,N,,,
106006,RHAMCAT,,Rhamnus cathartica,European Buckthorn,,0,GNR,,NNA,,SE5,IC,,IU,IX,IC,IC,IC,IX,IU,IX,IC,IC,IC,SH,Sum,I,Y,Rhamnaceae,0,0,,,N,,,
83212,ROBIPSE,,Robinia pseudoacacia,Black Locust,,3,G5,,NNA,,SE5,IC,,IU,IX,IX,IC,IC,IX,IC,IX,IC,IC,IC,TR,,I,Y,Fabaceae,0,3,,,N,,,
82318,ROSAMUL,,Rosa multiflora,Multiflora Rose,,3,GNR,,NNA,,SE5,IC,,IC,IX,IX,IX,IX,IX,IU,IX,IC,IC,IC,SH,,I,Y,Rosaceae,0,3,,,N,,,
1008317,RUBUBIF,,Rubus bifrons,Himalayan Blackberry,,5,G5,,NNA,,SE2,IR,,IR,,,,,,,,IR,IR,IR,SH,,I,Y,Rosaceae,0,5,,,N,,,
32088,SCILSIB,,Scilla siberica,Siberian Squill,,5,GNR,,NNA,,SE2,IR,,,,,IR,,,,,IR,IR,IR,FO,Win-Spr,I,Y,Liliaceae,0,5,,,N,,,
83054,SECUVAR,,Securigera varia,Purple Crown-vetch,,5,GNR,,NNA,,SE5,IX,,IU,,,IX,IX,,IC,IX,IU,IC,IC,FO,,I,Y,Fabaceae,0,5,,,N,,,
78004,SEDUACR,,Sedum acre,Mossy Stonecrop,,5,GNR,,NNA,,SE5,IX,,IR,IX,IX,IX,IX,IX,IU,IX,IU,IX,IR,FO,Sum,I,Y,Crassulaceae,0,5,,,N,,,
152040,SOLADUL,,Solanum dulcamara,Bittersweet Nightshade,,0,GNR,,NNA,,SE5,IC,,IC,IX,IX,IC,IC,IX,IC,IX,IC,IC,IC,VW,,I,Y,Solanaceae,0,0,,,N,,,
168774,SOLISEM,,Solidago sempervirens,Seaside Goldenrod,,-3,G5,,N5,,SE2,IR,,IU,,IR,IR,IR,IR,,,IR,IR,IR,FO,Sum-Aut,I,Y,Asteraceae,0,-3,,,N,,,
17375,STRAALO,,Stratiotes aloides,Water Soldiers,,-5,GNR,,NNA,,SE1,,,,,,,,,,,,,,FO,,I,Y,Hydrocharitaceae,0,-5,,,N,,,
141024,SYRIVUL,,Syringa vulgaris,Common Lilac,,5,GNR,,NNA,,SE5,IX,,IR,,IX,IX,IR,IX,IC,IX,IC,IR,IC,SH,Spr,I,Y,Oleaceae,0,5,,,N,,,
129102,TORIJAP,,Torilis japonica,Erect Hedge-parsley,,3,GNR,,NNA,,SE4,IX,,IR,,,IR,,,IU,IX,IR,IX,IR,FO,Sum,I,Y,Apiaceae,0,3,,,N,,,
17406,TRAPNAT,,Trapa natans,Water Chestnut,,-5,GNR,,NNA,,SE1,,,,,,,,,,,,,,FO,,I,Y,Trapaceae,0,-5,,,N,,,
168854,TUSSFAR,,Tussilago farfara,Coltsfoot,,3,GNR,,NNA,,SE5,IC,,IU,IX,IX,IC,IC,IX,IC,IX,IC,IX,IC,FO,Spr,I,Y,Asteraceae,0,3,,,N,,,
14000,TYPHANG,,Typha angustifolia,Narrow-leaved Cattail,,-5,G5,,N5,,SE5,IC,,C,IX,IX,IX,IC,IX,IC,IX,IC,IX,IC,FO,Sum,I,Y,Typhaceae,0,-5,,,N,,,
14004,TYPHX G,,Typha x glauca,(Typha angustifolia X Typha latifolia),,-5,GNA,,NNA,,SNA,hyb,,hyb,,hyb,hyb,hyb,,hyb,hyb,hyb,hyb,hyb,FO,,N,Y,Typhaceae,,-5,,,N,,,
47010,ULMUPUM,,Ulmus pumila,Siberian Elm,,3,GNR,,NNA,,SE3,IX,,IU,IR,IX,IR,IR,IX,IR,IX,IU,IX,IC,TR,,I,Y,Ulmaceae,0,3,,,N,,,
1010454,VIBUOPO,,Viburnum opulus ssp. opulus,Cranberry Viburnum,,-3,G5TNR,,NNA,,SE3?,IX,,IR,IX,,IR,,IR,IU,IX,IC,IX,IC,SH,,I,Y,Caprifoliaceae,0,-3,,,N,,,
83244,VICICRA,,Vicia cracca,Tufted Vetch,,5,GNR,,NNA,,SE5,IX,,IR,IX,IX,IX,IX,IX,IU,IX,IC,IC,IC,VI,,I,Y,Fabaceae,0,5,,,N,,,
144012,VINCMIN,,Vinca minor,Lesser Periwinkle,,5,GNR,,NNA,,SE5,IX,,IR,,IX,IR,IR,IX,IU,IX,IU,IX,IC,VW,Spr,I,Y,Apocynaceae,0,5,,,N,,,
145034,VINCHIR,,Vincetoxicum hirundinaria,White Swallowwort,,5,G5,,NNA,,SE1,IR,,,,,,,,,,IH,IR,IR,VI,Sum,I,Y,Apocynaceae,0,5,,All other CW values within this Genus are identical,N,,,
145030,VINCNIG,,Vincetoxicum nigrum,Black Swallowwort,,5,GNR,,NNA,,SE3?,IX,,,IX,IX,,,,,,IX,IX,IR,VI,Sum,I,Y,Apocynaceae,0,5,,,N,,,
145032,VINCROS,,Vincetoxicum rossicum,European Swallowwort,,5,GNR,,NNA,,SE5,IX,,,IX,,IR,IR,,,IX,IR,IX,IC,VI,Sum,I,Y,Apocynaceae,0,5,,,N,,,
13000,ABIEBAL,,Abies balsamea,Balsam Fir,5,-3,G5,,N5,,S5,R,,,,,IR,IR,X,IR,?,IR,C,R,TR,,N,,Pinaceae,5,-3,,,N,,,
109000,ABUTTHE,,Abutilon theophrasti,Velvetleaf,,3,GNR,,NNA,,SE5,IC,,IC,IX,IX,IC,IC,IX,IU,IX,IX,IX,IR,FO,Sum,I,,Malvaceae,0,3,,,N,,,
1300434,ACALGRA,,Acalypha gracilens,Slender Three-seeded Mercury,,3,G5,,NNR,,SE1,,,,,,,,,,,,,,FO,,I,,Euphorbiaceae,,3,,,N,,,
92054,ACALRHO,,Acalypha rhomboidea,Common Three-seeded Mercury,0,3,G5,,N5,,S5,C,,C,X,X,C,C,X,C,X,X,C,R,FO,,N,,Euphorbiaceae,0,3,,,N,,,
168000,ACANHIS,,Acanthospermum hispidum,Hispid Starbur,,,G5,,NNA,,SEH,IH,,,IH,,,,,,,,,,FO,,I,,Asteraceae,0,,,,N,,,
102000,ACERCAM,,Acer campestre,Hedge Maple,,5,GNR,,NNA,,SE1,IR,,,,,,,,IR,,IR,IR,IR,SH,,I,,Aceraceae,0,5,,,N,,,
102018,ACERNIG,,Acer nigrum,Black Maple,7,3,G5,,N4?,,S4?,C,,U,X,X,C,C,X,U,U,X,C,C,TR,,N,,Aceraceae,7,3,,,N,,,
102006,ACERPEN,,Acer pensylvanicum,Striped Maple,7,3,G5,,N5,,S4,,,,,,,,,,,,,,SH,,N,,Aceraceae,7,3,,,N,,,
102012,ACERRUB,,Acer rubrum,Red Maple,4,0,G5,,N5,,S5,C,,C,X,X,C,C,X,C,C,X,C,C,TR,,N,,Aceraceae,4,0,,,N,,,
102014,ACERSAC,,Acer saccharinum,Silver Maple,5,-3,G5,,N5,,S5,C,,C,X,X,C,C,X,C,C,X,C,X,TR,,N,,Aceraceae,5,-3,,,N,,,
102016,ACERSAH,,Acer saccharum,Sugar Maple,4,3,G5,,N5,,S5,C,,C,X,X,C,C,X,C,C,X,C,C,TR,,N,,Aceraceae,4,3,,,N,LV,VH,
102022,ACERSPI,,Acer spicatum,Mountain Maple,6,3,G5,,N5,,S5,U,,H,R,R,R,R,X,U,U,X,C,U,SH,,N,,Aceraceae,6,3,,,N,,,
1010535,ACERTAT,,Acer tataricum,Tatarian Maple,,5,GNR,,NNA,,SE1,IR,,,,,,,,IR,,,IR,IR,SH,,I,,Aceraceae,0,5,,,N,,,
